"The pending decline in shares of Apple Inc. (AAPL) could be almost as impressive as its meteoric rise from 2009. While the stock far outpaced the NASDAQ during its six-year recovery rally, it also has showed clearer signs of a trend change during the past ...","https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=SCqUCJ0HCbaUggpfU9aROqMqrymb31tPY6BYJxhp4Q4&v=1&r=https%3a%2f%2fwww.seeitmarket.com%2fqpple-aapl-elliott-wave-pattern-lower-stocks-15622%2f&p=DevEx,5033.1",2016-05-02T21:21:27,Apple (AAPL) Elliott Wave Pattern Looks Much Lower
2017-08-31T12:07:00,"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=5rV6kRkmISRJRs-TTh7r2I-WNBx1lPvtTnlmKl4TqZ8&v=1&r=https%3a%2f%2fwww.streetinsider.com%2fCorporate%2bNews%2fApple%2b%2528AAPL%2529%2bconfirms%2bSept%2b12%2biPhone%2bevent%2f13256435.html&p=DevEx,5035.1",Apple (AAPL) confirms Sept 12 iPhone event,"Get daily under-the-radar research with StreetInsider.com's Stealth Growth Insider Get your 2-Wk Free Trial here. Apple (NASDAQ: AAPL) confirms Sept 12 iPhone event. The invitation reads ""Let's meet at our place"" and is at the new Steve Jobs Theater in ..."
"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=vSTbLwaI6SHv8RO01oB1OtNX61nc-IK1yWTLQjayHws&v=1&r=http%3a%2f%2fcaps.fool.com%2fBlogs%2faapl-valuation%2f817647&p=DevEx,5037.1",2013-04-17T22:02:21,"Apple reported $44 in earnings over the last 4 quarters. The current stock price is $400 and they have $140 billion in cash on hand. They pay approximately a 1% dividend, maybe a hair more, maybe as much as 1.5% dividend yield at this depressed price ...",AAPL valuation
Should You Invest in Apple Inc. (AAPL) or Its Suppliers?,"Apple Inc. (NASDAQ:AAPL) has done very well in the last few years and has bright growth prospects ahead. The new iPhone 8 set to be launched in September could see significant demand and meanwhile, Apple’s Services business is growing fast. With Apple ...",2017-05-30T11:01:00,"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=K4SqJDTTMdDPnhWs4dFoL2X2v0HaX3cHqoq2WE0_W2I&v=1&r=https%3a%2f%2fwww.smarteranalyst.com%2f2017%2f05%2f30%2finvest-apple-inc-aapl-suppliers%2f&p=DevEx,5039.1"
2017-09-25,Analysts See $1.87 EPS for Apple Inc. (AAPL),"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=1SR86z4Kj47TxnsWijnDuY0GFi2_dO5pkAOB3uar_mI&v=1&r=https%3a%2f%2fpresstelegraph.com%2fanalysts-see-1-87-eps-for-apple-inc-aapl%2f&p=DevEx,5041.1","Investors sentiment increased to 0.68 in 2017 Q2. Its up 0.04, from 0.64 in 2017Q1. It improved, as 62 investors sold Apple Inc. shares while 1068 reduced holdings. 129 funds opened positions while 634 raised stakes. 3.06 billion shares or 2.38% less from ..."
Top Morgan Stanley analyst Kathryn Huberty is so inspired by Apple’s (NASDAQ:AAPL) augmented reality (AR) potential that she has boosted her AAPL price target by $50 to $253. Her new price target projects huge upside potential for AAPL of over 57% from ...,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=HAO9zKKwgCvjXmHdZWQfTYfbgoPO1IjWvGPXEje0Bc8&v=1&r=http%3a%2f%2fwww.talkmarkets.com%2fcontent%2fstocks--equities%2fthe-bull-why-aapl-now-has-its-highest-price-target-yet%3fpost%3d149091&p=DevEx,5043.1",The Bull: Why AAPL Now Has Its Highest Price Target Yet,2017-09-13T06:26:00
2017-09-21T19:51:47,"Curbstone Financial Management Corp decreased Apple Computer (Aapl) (AAPL) stake by 9.54% reported in 2017Q2 SEC filing. Curbstone Financial Management Corp sold 2,628 shares as Apple Computer (Aapl) (AAPL)’s stock rose 12.78%. The Curbstone Financial ...","https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=WRk05UgrBbTcaCh6568xODvnZnk8ue9isLBt1CbysNw&v=1&r=https%3a%2f%2fwww.bibeypost.com%2felbit-systems-ltd-eslt-touches-142-84-high-on-sep-21-curbstone-financial-management-has-lowered-its-apple-computer-aapl-aapl-stake%2f&p=DevEx,5045.1","Elbit Systems Ltd (ESLT) Touches $142.84 High on Sep, 21; Curbstone Financial Management Has Lowered Its Apple Computer (Aapl) (AAPL) Stake"
Nasdaq:AAPL in a Slump?,"Nasdaq:AAPL stock opened today at 537.45, a low point that followed a 6-day slump this New Year. The technology giant has seen immense gains over the course of 2013, but 2014 isn’t getting off to such a great start despite the purchase of SnappyLabs this ...","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=LBWJOBPNupTFavESrkMlBoa94HNoYAsWVQbA-aVsB8E&v=1&r=http%3a%2f%2fguardianlv.com%2f2014%2f01%2fnasdaqaapl-in-a-slump%2f&p=DevEx,5047.1",2014-01-07T00:00:08
"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=1c2XeOijsmuO3bwuYjrAEoBRH7l5FmmwtVbdzpD7jpA&v=1&r=https%3a%2f%2friskreversal.com%2f2017%2f08%2f01%2fapple-aapl-fq3-earnings-preview-trade-ideas%2f&p=DevEx,5049.1",2017-08-01T12:57:00,"Event: Apple (AAPL) will report their fiscal Q3 earnings today after the close. The options market is implying about a 3.5% one day move following results, as the Aug 4th 149 weekly straddle (the call premium + the put premium vs stock $149) is offered at ...",Apple (AAPL) FQ3 Earnings Preview & Trade Ideas
Tackling The Unknown For Apple,2012-10-24T12:27:00,"This is a guest post from Sammy The Walrus IV, a frequent commenter at Business Insider, and a sharp tweeter on all things Apple. It was originally published on his site, AAPL Orchard, and is republished with permission. Humans hate the unknown. Some look ...","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=lX_VLJIT6ir5D-vCfC4lT5vtNzF-PdvxYZNT74taEcY&v=1&r=http%3a%2f%2fwww.businessinsider.com%2ftackling-the-aapl-unknown-2012-10&p=DevEx,5051.1"
Nasdaq Insight: AAPL Views Range Among Traders,"Shares of Apple Inc. (NASDAQ:AAPL) were quoted higher in early Nasdaq trading Friday, up $1.47 to $121.54, after selling off more than 2 percent on heavier than average volume yesterday. Recent selling has brought shares of the computing giant to down to ...","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=oCxhXAy7k36oRQH6HufdueupKY_7K9AMq2zN7-LuBls&v=1&r=http%3a%2f%2fwww.inquisitr.com%2f2240834%2fnasdaq-insight-aapl-views-range-among-traders%2f&p=DevEx,5053.1",2015-07-10T14:07:48
"AAPL, PFE, ADBE Stocks Downgraded Today",2017-06-12T09:06:00,"Coming off its worst day in over a year, Apple stock is down another 2% in electronic trading, following a bear note at Mizuho. Specifically, the brokerage firm downgraded the shares to ""neutral"" from ""buy,"" setting a $150 price target, saying enthusiasm ...","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=ZBa00jrA65WBnauaoOoQTo7nByUkV2DnLS5imqu-QGk&v=1&r=http%3a%2f%2fwww.schaeffersresearch.com%2fcontent%2fnews%2f2017%2f06%2f12%2faapl-pfe-adbe-stocks-downgraded-today&p=DevEx,5055.1"
What To Watch When Apple Inc. (AAPL) Reports Earnings,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=M0j_VPiAOJ3kkI9A4rytO5HO7oRQF4QpPyLkSVPoYw8&v=1&r=http%3a%2f%2fwww.valuewalk.com%2f2016%2f04%2fwatch-apple-aapl-reports-earnings%2f&p=DevEx,5057.1",2016-04-26T08:25:00,"The Estimize consensus is calling for earnings per share of $2.01 on $52.06 billion, 4 cents higher than Wall Street on the bottom line and about $550 million on the top. The iPhone continues to be Apple’s Inc. (NASDAQ:AAPL) biggest growth catalyst ..."
Apple Inc (NASDAQ:AAPL) Stock Overbought,"Overall, the bias in prices is: Upwards. Short term: Prices are stalling. Intermediate term: Prices are trending. Note: this chart shows extraordinary price action to the upside. The projected upper bound is: 144.14. The projected lower bound is: 136.80.","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=xfxYaM5FrdS3Qqs1Zm-Qv9JE5S2uCqds9YVLm7zJjzY&v=1&r=http%3a%2f%2fwww.livetradingnews.com%2fapple-inc-nasdaqaapl-stock-overbought-2-34544.html&p=DevEx,5059.1",2017-03-20T02:51:06
Apple Inc. (AAPL) Dividend Stock Analysis,"Linked here is a detailed quantitative analysis of Apple Inc. (AAPL). Below are some highlights from the above linked analysis: Company Description: Apple Inc. is a prominent provider of hardware including iPhone smartphones, iPad tablets, Mac computers ...","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=F2hHdzjqQupBOQ-5rckr25qo8e0MRsJOaz0zypzSuO8&v=1&r=http%3a%2f%2fwww.dividend-growth-stocks.com%2f2016%2f11%2fapple-inc-aapl-dividend-stock-analysis.html&p=DevEx,5061.1",2016-11-22T08:57:01
Apple Inc. (AAPL) Dividend Stock Analysis,"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=yZuY3nD3uZdW61PVmv4FvdsRQ-8JNdRvpAZz6Pci_-A&v=1&r=https%3a%2f%2fwww.dividenddiplomats.com%2f5451-2%2f&p=DevEx,5063.1",2017-05-30T08:00:26,"For those of you who are new followers, we run the Dividend Diplomat stock screener to identify potentially undervalued dividend growth stocks to analyze and potentially purchase. The Dividend Diplomats like to stick to metrics when evaluating dividend ..."
"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=BKC-tWRlgsncLf9ApAXE5Urn9yHhFgT9aalAH-U_44U&v=1&r=http%3a%2f%2fwww.livetradingnews.com%2fapple-inc-nasdaqaapl-accidentally-leaked-new-design-51491.html&p=DevEx,5065.1","Apple HomePod accident delivered a mother lode of iPhone 8 information. The company’s own code verified two exclusives (1, 2) I published last month and now in conjunction with this I can confirm the iPhone 8’s production-ready final design ...",2017-08-14T09:41:12,Apple Inc. (NASDAQ:AAPL) Accidentally Leaked New Design
"I wasn’t planning a post here today but I have more time than I expected this morning, and I didn’t manage to do the AAPL post I was planning yesterday, so I’m going to combine them both into a single post here this morning. I’m rolling into the ...",2016-09-09T07:12:00,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=NAIjTZZtx-98H5evch9VxCnnJ0LrX6LDTISqbnT6_8k&v=1&r=http%3a%2f%2fslopeofhope.com%2f2016%2f09%2ftesting-support-and-aapl-revisited.html&p=DevEx,5067.1",Testing Support and AAPL Revisited
"Earlier we previewed Apple’s (AAPL) fiscal 4Q earnings, due after the bell. Now we’want to detail a few options strategies for existing holders, and one for those looking for defined risk long exposure. First we want to detail a strategy that ...",AAPL Juice,"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=7grIbvODeSMbWlUUwF6Zw4_gWTt8BjTrG8enNhXZujE&v=1&r=https%3a%2f%2friskreversal.com%2f2016%2f10%2f25%2faapl-juice%2f&p=DevEx,5069.1",2016-10-25T12:55:00
"AAPL, PRGO, SNAP Stocks Downgraded Today","Apple stock is down 0.8% in electronic trading, following an AAPL downgrade to ""sector weight"" from ""overweight"" at Pacific Crest. The firm said traders are expecting strong results from the iPhone 8 cycle, without considering risks related to ""gross ...",2017-06-05T09:30:00,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=BF7cDkUzz6dxk-N1GgLbmgk8kUKjITJao3ajZoneeNg&v=1&r=http%3a%2f%2fwww.schaeffersresearch.com%2fcontent%2fnews%2f2017%2f06%2f05%2faapl-prgo-snap-stocks-downgraded-today&p=DevEx,5071.1"
"Many investors were not able to get a relaxing early start to the Independence Day holiday on Monday night as a reporting glitch wreaked havoc on several Nasdaq-listed tech stocks following market close. Apple, Amazon, Microsoft, and Google were among ...","AAPL, MSFT Among Stocks Affected By NASDAQ Glitch","https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=zIAlgWVoKbtbxsTw7ATIoj2TtNxYtRWpY6H5dDKNw8E&v=1&r=https%3a%2f%2fwww.macobserver.com%2fnews%2faapl-nasdaq-glitch%2f&p=DevEx,5073.1",2017-07-05T06:25:00
2013-01-23T23:41:00,"$AAPL Pummeled in After-Hours Trading, Here's Why","https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=CWTkmLnWMBnKNLSWFyAZuvx40Ycxf_uecRiLt0cAzaU&v=1&r=https%3a%2f%2fwww.macobserver.com%2ftmo%2farticle%2faapl-pummeled-in-after-hours-trading-heres-why&p=DevEx,5075.1","Shares of Apple Inc. were pummeled in after-hours trading Wednesday as investors expressed their displeasure over the company's December quarter results and conference call. Though Apple met estimates for sales and slightly beat estimates for earnings, the ..."
"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=d-e8MsShXPRhtKNJbNQnfChYmrjgD48a40YdayKOjEA&v=1&r=http%3a%2f%2fwww.macworld.com%2farticle%2f2956807%2fsmartphones%2faapl-vs-apple-don-t-confuse-the-two.html&p=DevEx,5077.1","The Macalope’s going to give you a pro tip: Never mix up AAPL the stock and Apple the company. That’ll save you a lot of insanity. Writing for MarketWatch, Mark Hulbert says: “The bad news on Apple’s stock is only beginning” (tip o’ the antlers ...",AAPL vs. Apple: Don’t confuse the two,2015-08-06T14:58:00
"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=ZARXJjLMBRyML11DL3dsVA7i0iBKpUsTL5KhuFWmjZ0&v=1&r=http%3a%2f%2fslopeofhope.com%2f2016%2f10%2faapl-poised-for-positive-earnings-reaction.html&p=DevEx,5079.1",2016-10-25T10:45:00,"Apple reports Q3 earnings after the close of trading on Tuesday. Wall Street always gets excited when AAPL reports, because investors and detractors are extremely passionate about the potential of the company — positive or negative. There are lots of ...",AAPL Poised for Positive Earnings Reaction
2017-05-11T16:12:00,Apple Inc. Stock (AAPL) Long Term Technical Analysis May 2017,"AAPL market cap continues to grow exponentially, and the market cap jumped from $700+ billion to $800 billion in just one month.Strong sales of iPhone 7 and iPhone 7+ is one of the reasons why the market is hot on AAPL shares. Aside from iPhone sales ...","https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=BxoWHCFjpbZNDxxFMGKZADhwQhiaG5BHoKAjNzeJDE4&v=1&r=https%3a%2f%2ffxdailyreport.com%2fapple-inc-stock-aapl-long-term-technical-analysis-may-2017%2f&p=DevEx,5081.1"
Making Money Trading AAPL 3 Different Ways,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=YHvDFqOCiCEQN9nIxEPR7YinffG3Nt8ObgpyNETImNg&v=1&r=http%3a%2f%2finvestingwithoptions.com%2fblog%2f2015%2f01%2f23%2fmaking-money-trading-aapl-3-different-ways%2f&p=DevEx,5083.1",2015-01-23,"When trading options, the best edge you can get is understanding the role of volatility in both the stock and the options. What that means is there is no ""one size fits all"" kind of option strategy. Your trades should reflect what you think about the stock ..."
"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=EUzTc42m7tE67w0Ky1X7i7bv9oCZkOOuWj3i9D261-8&v=1&r=https%3a%2f%2fwww.smarteranalyst.com%2f2017%2f05%2f01%2fapple-inc-aapl-boosts-margins-heres%2f&p=DevEx,5085.1",Apple Inc. (AAPL) Boosts Margins; Here’s How,2017-05-01T08:00:00,"Apple Inc. (NASDAQ:AAPL) is struggling with weak top line growth. Sales are stagnant in every major product category, and fierce competition in the smartphone market has led to margin erosion on the iPhone and other products. But Apple still has growth ..."
2017-03-06T18:07:45,Making Covered Calls in AAPL a Winner,"Selling a covered call in Apple Inc (NASDAQ:AAPL) has been a winner, but only for the mindful investor that avoids the pitfalls and is mindful of risk. Doing a covered call against a long stock position can be a wonderful income producing strategy, but it ...","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=C0OWgFErqmjX2Bg8tShDbswGarr5eJ-HDP9qA_iezA8&v=1&r=http%3a%2f%2fwww.theoptionsinsider.com%2fmaking-covered-calls-aapl-winner%2f&p=DevEx,5087.1"
2013-11-04T10:00:00,"Apple Inc. (NASDAQ:AAPL) has been a revolutionary company. As a result the firm has been difficult to describe. Its business model isn’t all that much like its competitors, and its results are much better. A new report from UBS on the Cupertino-based ...",Apple Inc. (AAPL) Building Blockbuster Business,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=gQ03PAglNaHqfB8gAIDO9zGdWjkx7ACfRw6HPAkehSc&v=1&r=http%3a%2f%2fwww.valuewalk.com%2f2013%2f11%2fapple-inc-aapl-building-blockbuster-business%2f&p=DevEx,5089.1"
deagol's AAPL model,"As of Friday's market close of $164.05, AAPL is trading at a 15.1x multiple on my next-twelve-months EPS estimate (12.0x when excluding next-12m net cash and div). I decided to challenge myself by posting my final estimates nearly two months instead of the ...",2017-09-05,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=CtaSPitQLuLoF5NEdyNprLLxaegGFOfa9TfeOGSAb0w&v=1&r=http%3a%2f%2faaplmodel.blogspot.com%2f2017%2f09%2f&p=DevEx,5091.1"
"This has been an eventful earnings season so far for IWO-- we've taken a couple trades in GOOG (win), ISRG (scratch), and GS (loss, still open). I wanted to go ahead and breakdown what I saw with $AAPL going in. Next, we have to consider the overall ...",AAPL Earnings Trade Analysis,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=9KWptIQHn4OCyH69aTm04xKzy6Diqx2IekORNLUoHTM&v=1&r=http%3a%2f%2finvestingwithoptions.com%2fblog%2f2010%2f01%2f26%2faapl-earnings-trade-analysis-iron-condor%2f&p=DevEx,5093.1",2010-01-26
AAPL Announces 2016-2017 Executive Committee,2016-07-29T09:39:00,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=i25-In461ccUfjHD3oEYQpTD0OeKnrQ21aMMhPUwzwc&v=1&r=http%3a%2f%2fwww.oilandgasinvestor.com%2faapl-announces-2016-2017-executive-committee-1027331&p=DevEx,5095.1","On July 26, The American Association of Professional Landmen (AAPL) said it inducted members of the 2016-2017 AAPL executive committee at its 62nd annual meeting in Orlando, Fla., in June. The seven-member executive committee has more than 200 years of ..."
